"id","title","city","neighbourhood","intent","price","bedrooms","bathrooms","size_sqm","property_type","distance_from_city_km","description"
1,"Bright Two Bedroom Apartment in Wembley","London","Wembley","rent",1157,2,1,34,"apartment",4.30,"Located in Wembley, London, this well-presented apartment offers 2 bedroom(s) and approximately 34 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
2,"Contemporary Two Bedroom Apartment in Canary Wharf","London","Canary Wharf","rent",1062,2,1,34,"apartment",13.80,"Located in Canary Wharf, London, this well-presented apartment offers 2 bedroom(s) and approximately 34 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
3,"Spacious Two Bedroom Apartment in Greenwich","London","Greenwich","rent",980,2,1,28,"apartment",22.00,"Located in Greenwich, London, this well-presented apartment offers 2 bedroom(s) and approximately 28 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
4,"Stylish One Bedroom Apartment in Islington","London","Islington","rent",1166,1,1,44,"apartment",3.40,"Located in Islington, London, this well-presented apartment offers 1 bedroom(s) and approximately 44 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
5,"Modern Two Bedroom Apartment in Croydon","London","Croydon","rent",883,2,1,56,"apartment",31.70,"Located in Croydon, London, this well-presented apartment offers 2 bedroom(s) and approximately 56 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
6,"Bright One Bedroom Apartment in Canary Wharf","London","Canary Wharf","rent",1130,1,1,27,"apartment",7.00,"Located in Canary Wharf, London, this well-presented apartment offers 1 bedroom(s) and approximately 27 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
7,"Contemporary One Bedroom Apartment in Richmond","London","Richmond","rent",1142,1,1,56,"apartment",5.80,"Located in Richmond, London, this well-presented apartment offers 1 bedroom(s) and approximately 56 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
8,"Renovated One Bedroom Apartment in Richmond","London","Richmond","rent",810,1,1,56,"apartment",41.90,"Located in Richmond, London, this well-presented apartment offers 1 bedroom(s) and approximately 56 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
9,"Stylish One Bedroom Apartment in Croydon","London","Croydon","rent",2565,1,1,57,"apartment",8.80,"Located in Croydon, London, this well-presented apartment offers 1 bedroom(s) and approximately 57 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
10,"Modern Two Bedroom Apartment in Canary Wharf","London","Canary Wharf","rent",2472,2,1,68,"apartment",12.30,"Located in Canary Wharf, London, this well-presented apartment offers 2 bedroom(s) and approximately 68 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
11,"Bright One Bedroom Apartment in Richmond","London","Richmond","rent",2682,1,1,67,"apartment",4.40,"Located in Richmond, London, this well-presented apartment offers 1 bedroom(s) and approximately 67 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
12,"Contemporary One Bedroom Apartment in Greenwich","London","Greenwich","rent",2565,1,1,88,"apartment",8.80,"Located in Greenwich, London, this well-presented apartment offers 1 bedroom(s) and approximately 88 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
13,"Renovated One Bedroom Apartment in Greenwich","London","Greenwich","rent",2408,1,1,63,"apartment",14.70,"Located in Greenwich, London, this well-presented apartment offers 1 bedroom(s) and approximately 63 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
14,"Stylish One Bedroom Apartment in Richmond","London","Richmond","rent",2624,1,1,66,"apartment",6.60,"Located in Richmond, London, this well-presented apartment offers 1 bedroom(s) and approximately 66 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
15,"Modern One Bedroom Apartment in Canary Wharf","London","Canary Wharf","rent",2306,1,1,83,"apartment",18.50,"Located in Canary Wharf, London, this well-presented apartment offers 1 bedroom(s) and approximately 83 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
16,"Bright One Bedroom Apartment in Canary Wharf","London","Canary Wharf","rent",2712,1,1,59,"apartment",3.30,"Located in Canary Wharf, London, this well-presented apartment offers 1 bedroom(s) and approximately 59 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
17,"Contemporary One Bedroom Apartment in Richmond","London","Richmond","rent",2778,1,1,84,"apartment",0.80,"Located in Richmond, London, this well-presented apartment offers 1 bedroom(s) and approximately 84 sqm of living space. The property benefits from excellent transport connections, local shops, restaurants and convenient access to the wider city."
